Team,Position,Time,Shots,Passes,Tackles,Saves
Algeria,Midfielder,16,0,6,0,0
Japan,Midfielder,351,0,101,14,0
France,Defender,180,0,91,6,0
France,Midfielder,270,1,111,5,0
Cameroon,Forward,46,2,16,0,0
Uruguay,Forward,72,0,15,0,0
Ghana,Defender,138,0,51,2,0
Ghana,Forward,33,0,9,0,0
Netherlands,Midfielder,21,5,22,0,0
Nigeria,Defender,103,0,38,1,0
Denmark,Defender,270,2,120,10,0
Mexico,Defender,55,0,31,2,0
Argentina,Forward,106,2,57,2,0
North Korea,Midfielder,270,1,123,11,0
Paraguay,Defender,390,1,172,13,0
Cameroon,Midfielder,90,1,59,7,0
Portugal,Forward,136,5,42,3,0
Spain,Midfielder,506,9,465,18,0
France,Midfielder,82,0,31,0,0
Honduras,Midfielder,180,1,57,1,0
Ghana,Forward,11,0,4,1,0
Portugal,Midfielder,5,1,7,0,0
France,Forward,117,7,37,1,0
Ghana,Midfielder,510,4,307,11,0
Ghana,Midfielder,105,1,54,2,0
Spain,Defender,13,0,12,0,0
Uruguay,Midfielder,570,5,195,21,0
Ghana,Midfielder,480,11,214,9,0
England,Defender,360,0,142,12,0
Cameroon,Defender,270,0,116,5,0
Greece,Defender,270,1,70,8,0
Ghana,Midfielder,389,3,170,15,0
Nigeria,Midfielder,90,0,44,1,0
Germany,Defender,167,0,84,6,0
Brazil,Midfielder,82,0,42,1,0
Switzerland,Midfielder,227,3,104,5,0
Mexico,Midfielder,149,4,59,2,0
Paraguay,Midfielder,111,2,38,3,0
Paraguay,Forward,308,6,89,2,0
New Zealand,Midfielder,1,0,0,0,0
Ivory Coast,Goalkeeper,270,0,23,0,8
England,Midfielder,264,2,171,8,0
Cameroon,Defender,163,0,71,3,0
Mexico,Forward,45,0,8,3,0
USA,Midfielder,10,0,4,0,0
Australia,Defender,90,0,33,2,0
Chile,Midfielder,360,2,100,7,0
Denmark,Midfielder,28,0,8,0,0
Switzerland,Midfielder,31,0,4,1,0
Algeria,Defender,270,1,146,8,0
Switzerland,Goalkeeper,270,0,75,0,11
Denmark,Forward,242,4,70,0,0
Paraguay,Forward,83,2,25,2,0
Honduras,Defender,90,2,34,4,0
New Zealand,Midfielder,270,0,79,5,0
Slovenia,Midfielder,261,6,61,5,0
Mexico,Forward,112,2,60,3,0
Germany,Defender,287,1,125,10,0
Ghana,Midfielder,464,12,220,20,0
USA,Defender,390,1,130,9,0
Ivory Coast,Defender,90,2,50,5,0
Argentina,Midfielder,98,2,97,4,0
Paraguay,Midfielder,300,0,108,4,0
Cameroon,Defender,56,0,12,0,0
USA,Defender,200,2,72,5,0
Algeria,Midfielder,74,3,28,1,0
Algeria,Defender,270,1,89,11,0
Netherlands,Defender,180,0,81,8,0
USA,Midfielder,390,6,210,9,0
Chile,Goalkeeper,360,0,58,0,4
Slovenia,Defender,270,1,95,5,0
Australia,Midfielder,132,3,47,1,0
New Zealand,Midfielder,11,0,5,0,0
Portugal,Defender,360,1,166,5,0
USA,Forward,39,1,12,0,0
Italy,Goalkeeper,45,0,4,0,0
Switzerland,Forward,13,0,5,0,0
Argentina,Defender,341,1,167,1,0
Spain,Midfielder,511,0,466,15,0
Germany,Forward,132,4,54,1,0
Australia,Midfielder,146,6,39,1,0
Italy,Midfielder,76,2,45,2,0
Paraguay,Defender,90,4,44,1,0
Italy,Defender,270,0,138,11,0
Spain,Defender,540,1,310,10,0
Paraguay,Forward,204,3,53,2,0
Chile,Midfielder,270,1,175,9,0
Australia,Defender,180,0,56,4,0
England,Defender,135,0,74,4,0
Portugal,Defender,360,2,173,11,0
Spain,Goalkeeper,540,0,67,0,11
Mexico,Midfielder,33,0,21,1,0
Uruguay,Forward,435,9,151,11,0
Slovakia,Defender,90,0,35,2,0
Slovenia,Defender,270,1,89,2,0
South Korea,Defender,270,2,105,3,0
North Korea,Defender,255,4,74,5,0
Algeria,Goalkeeper,90,0,17,0,2
Greece,Forward,61,0,12,2,0
Honduras,Defender,270,0,62,3,0
Cameroon,Midfielder,90,2,77,2,0
USA,Defender,390,1,180,10,0
Italy,Defender,270,2,155,7,0
Australia,Midfielder,138,2,50,3,0
South Korea,Defender,360,0,111,10,0
North Korea,Forward,23,1,13,0,0
Cameroon,Forward,147,2,38,1,0
Denmark,Midfielder,270,1,179,7,0
New Zealand,Midfielder,21,0,9,1,0
France,Forward,55,3,7,1,0
USA,Midfielder,121,0,42,4,0
France,Defender,90,0,46,2,0
Chile,Defender,54,0,17,1,0
Italy,Defender,225,1,114,6,0
England,Forward,17,1,7,0,0
Australia,Midfielder,270,4,153,0,0
Paraguay,Defender,90,0,71,0,0
Uruguay,Defender,90,0,32,4,0
Paraguay,Midfielder,354,1,170,17,0
Paraguay,Defender,480,1,235,11,0
Brazil,Defender,310,11,215,6,0
Portugal,Forward,176,1,62,7,0
Italy,Midfielder,270,3,204,9,0
Portugal,Midfielder,62,0,45,1,0
Slovenia,Forward,84,0,22,1,0
England,Forward,173,5,17,1,0
Ivory Coast,Defender,180,0,60,6,0
USA,Defender,390,2,129,7,0
Argentina,Defender,450,1,218,7,0
USA,Midfielder,390,15,137,6,0
Switzerland,Forward,191,4,47,1,0
Argentina,Midfielder,356,7,148,12,0
Italy,Forward,153,6,55,2,0
South Africa,Midfielder,180,2,108,4,0
Ivory Coast,Forward,170,1,66,2,0
Algeria,Forward,123,3,19,1,0
USA,Forward,390,7,165,9,0
Ivory Coast,Forward,11,0,2,0,0
Ivory Coast,Forward,204,8,35,2,0
Portugal,Defender,70,0,18,2,0
Slovakia,Defender,360,1,159,4,0
Ivory Coast,Defender,251,3,126,6,0
Nigeria,Defender,67,0,22,1,0
USA,Midfielder,198,2,116,4,0
Portugal,Goalkeeper,360,0,51,0,17
Switzerland,Defender,1,0,0,0,0
Uruguay,Midfielder,2,0,1,0,0
Brazil,Midfielder,140,5,57,6,0
Netherlands,Forward,85,2,38,2,0
New Zealand,Midfielder,270,1,119,7,0
Cameroon,Midfielder,117,7,59,2,0
Australia,Midfielder,254,1,89,3,0
Japan,Midfielder,389,1,147,9,0
Denmark,Midfielder,56,2,10,0,0
Cameroon,Midfielder,135,2,56,8,0
Nigeria,Goalkeeper,270,0,30,0,20
Denmark,Midfielder,44,1,20,1,0
Honduras,Midfielder,135,0,36,4,0
Chile,Midfielder,37,1,16,2,0
Cameroon,Forward,270,4,89,3,0
Nigeria,Midfielder,270,0,111,5,0
France,Defender,180,0,92,4,0
Brazil,Forward,418,9,89,4,0
Spain,Midfielder,94,1,116,2,0
New Zealand,Forward,222,1,60,1,0
USA,Midfielder,165,3,71,5,0
Switzerland,Midfielder,212,1,56,7,0
Uruguay,Midfielder,75,1,17,3,0
Chile,Midfielder,155,1,72,2,0
Uruguay,Forward,7,0,5,0,0
Portugal,Defender,90,0,37,1,0
Honduras,Defender,270,1,94,5,0
USA,Forward,167,1,40,0,0
Uruguay,Forward,564,18,202,0,0
Mexico,Forward,253,4,71,2,0
Switzerland,Forward,63,2,11,0,0
Germany,Defender,540,1,244,16,0
Uruguay,Defender,371,2,115,14,0
Chile,Defender,90,0,27,3,0
Portugal,Defender,360,1,152,13,0
France,Defender,270,0,96,2,0
Australia,Midfielder,72,2,24,3,0
Uruguay,Midfielder,91,0,44,1,0
Italy,Midfielder,45,0,13,5,0
Greece,Forward,169,3,26,0,0
Cameroon,Defender,195,1,93,1,0
England,Midfielder,360,10,227,5,0
Ivory Coast,Forward,182,5,60,1,0
Algeria,Forward,40,3,8,0,0
France,Forward,95,3,19,1,0
Italy,Forward,117,1,32,0,0
Brazil,Defender,33,0,6,4,0
Brazil,Midfielder,450,3,299,11,0
Mexico,Midfielder,360,2,106,4,0
England,Defender,357,3,173,17,0
Uruguay,Defender,315,1,120,9,0
USA,Forward,85,4,18,0,0
Germany,Forward,57,2,18,0,0
Uruguay,Midfielder,63,0,34,2,0
Chile,Midfielder,138,10,41,6,0
France,Midfielder,100,3,40,3,0
France,Forward,162,1,35,4,0
Brazil,Forward,5,0,4,0,0
England,Goalkeeper,90,0,21,0,3
Australia,Midfielder,45,0,18,2,0
Switzerland,Defender,270,1,82,6,0
Denmark,Midfielder,101,1,29,3,0
Mexico,Midfielder,142,5,92,2,0
Honduras,Midfielder,156,0,60,6,0
Argentina,Midfielder,191,0,83,11,0
Algeria,Midfielder,38,0,18,1,0
Ghana,Forward,501,27,151,1,0
Algeria,Defender,270,2,94,4,0
Cameroon,Goalkeeper,270,0,54,0,9
Slovakia,Midfielder,358,5,143,3,0
Slovenia,Goalkeeper,270,0,66,0,13
Nigeria,Midfielder,180,1,77,3,0
Japan,Midfielder,375,2,125,8,0
Argentina,Defender,360,3,188,6,0
Netherlands,Defender,540,0,259,10,0
France,Forward,53,1,21,2,0
Mexico,Forward,169,6,37,1,0
England,Forward,176,2,53,7,0
Argentina,Forward,341,13,93,5,0
USA,Midfielder,4,0,2,0,0
Australia,Forward,138,3,49,2,0
Slovakia,Forward,29,0,11,1,0
Japan,Midfielder,390,8,143,5,0
North Korea,Forward,270,4,107,3,0
USA,Goalkeeper,390,0,81,0,14
Switzerland,Midfielder,258,0,87,8,0
Netherlands,Forward,48,1,12,0,0
Italy,Forward,270,5,48,3,0
Cameroon,Forward,50,2,23,1,0
Japan,Midfielder,3,0,5,0,0
Spain,Midfielder,437,8,299,11,0
Ghana,Defender,187,1,62,3,0
Switzerland,Midfielder,270,2,138,6,0
Chile,Defender,332,1,123,10,0
Serbia,Defender,270,3,115,2,0
Honduras,Defender,180,0,51,8,0
Denmark,Defender,270,0,95,3,0
Denmark,Midfielder,60,2,40,0,0
Slovakia,Forward,2,0,1,0,0
England,Goalkeeper,270,0,72,0,6
Germany,Defender,73,1,44,3,0
Chile,Defender,308,1,187,8,0
Spain,Midfielder,17,0,17,0,0
Australia,Midfielder,16,0,15,0,0
Slovakia,Forward,250,3,55,4,0
Denmark,Midfielder,45,0,21,2,0
Honduras,Forward,84,0,19,0,0
Spain,Midfielder,118,4,61,1,0
North Korea,Midfielder,270,3,73,11,0
England,Midfielder,44,1,26,0,0
Ghana,Defender,420,1,108,10,0
Slovenia,Defender,270,0,109,10,0
Ghana,Defender,300,2,105,6,0
North Korea,Forward,270,13,58,2,0
South Africa,Goalkeeper,101,0,20,0,3
Brazil,Midfielder,46,0,54,1,0
Serbia,Midfielder,245,4,65,2,0
USA,Forward,356,8,84,2,0
Brazil,Defender,450,4,223,9,0
Spain,Midfielder,20,1,16,0,0
Brazil,Goalkeeper,450,0,69,0,10
South Korea,Goalkeeper,360,0,49,0,14
Mexico,Defender,235,0,128,6,0
Denmark,Midfielder,169,1,78,8,0
Serbia,Midfielder,20,1,7,1,0
Ivory Coast,Midfielder,94,2,48,2,0
Algeria,Midfielder,262,0,104,3,0
Denmark,Midfielder,159,2,59,3,0
Nigeria,Midfielder,123,2,45,2,0
Brazil,Midfielder,337,6,139,2,0
Ivory Coast,Forward,160,4,50,3,0
Nigeria,Forward,57,0,18,0,0
Greece,Forward,29,1,7,0,0
Greece,Midfielder,180,4,105,7,0
Greece,Midfielder,234,2,115,4,0
Japan,Goalkeeper,390,0,54,0,17
Japan,Midfielder,39,0,10,0,0
Australia,Forward,112,3,29,1,0
Australia,Midfielder,24,0,7,1,0
Germany,Midfielder,517,6,279,16,0
South Africa,Midfielder,78,1,48,1,0
South Africa,Defender,270,2,74,4,0
South Africa,Goalkeeper,166,1,24,0,4
South Korea,Midfielder,292,2,162,6,0
Germany,Forward,7,0,5,0,0
New Zealand,Forward,240,3,60,7,0
South Korea,Defender,1,0,0,0,0
South Korea,Midfielder,65,0,37,0,0
South Korea,Midfielder,360,4,184,10,0
North Korea,Forward,42,0,18,0,0
South Korea,Midfielder,86,2,38,6,0
North Korea,Midfielder,32,1,10,0,0
England,Defender,45,0,17,0,0
Ghana,Goalkeeper,510,0,105,1,20
Slovenia,Midfielder,259,1,88,4,0
Denmark,Defender,180,1,41,3,0
Germany,Forward,356,11,83,4,0
Brazil,Midfielder,9,0,1,0,0
Serbia,Defender,180,2,46,8,0
Ivory Coast,Defender,270,2,88,2,0
Slovenia,Midfielder,4,0,3,1,0
Japan,Defender,390,3,115,16,0
Japan,Defender,2,0,0,0,0
Slovakia,Midfielder,22,1,17,0,0
Slovenia,Midfielder,270,3,162,3,0
Slovakia,Midfielder,90,0,66,3,0
Serbia,Midfielder,242,3,60,2,0
Germany,Midfielder,50,2,29,4,0
Denmark,Defender,56,1,32,0,0
Slovakia,Midfielder,181,4,71,10,0
Netherlands,Forward,516,11,248,7,0
Serbia,Midfielder,180,4,103,1,0
Greece,Defender,180,4,40,1,0
Algeria,Midfielder,270,0,158,8,0
Germany,Defender,540,0,360,17,0
England,Midfielder,360,11,232,3,0
Denmark,Forward,34,2,5,0,0
Serbia,Forward,44,1,14,0,0
South Korea,Midfielder,359,7,147,12,0
South Korea,Forward,38,1,14,0,0
South Korea,Defender,360,2,164,8,0
South Korea,Forward,3,0,0,0,0
South Korea,Defender,360,2,160,2,0
England,Midfielder,153,0,43,1,0
South Africa,Midfielder,147,0,89,6,0
Switzerland,Defender,270,2,80,10,0
Portugal,Forward,121,4,27,2,0
Slovenia,Forward,173,2,36,2,0
Spain,Forward,31,2,12,0,0
France,Goalkeeper,270,0,43,0,12
New Zealand,Defender,270,0,47,5,0
Uruguay,Midfielder,109,0,37,1,0
Brazil,Defender,450,1,223,14,0
Uruguay,Defender,398,2,67,6,0
Serbia,Defender,164,1,98,6,0
Algeria,Goalkeeper,180,0,30,0,12
Italy,Defender,45,0,21,1,0
Brazil,Defender,450,6,249,11,0
Cameroon,Midfielder,210,4,164,2,0
France,Midfielder,150,4,76,1,0
Spain,Defender,8,0,1,0,0
Italy,Goalkeeper,225,0,21,0,1
Italy,Midfielder,120,0,57,2,0
Japan,Defender,390,5,129,5,0
Germany,Midfielder,29,1,6,0,0
Nigeria,Forward,71,2,16,0,0
Argentina,Midfielder,360,0,237,19,0
South Africa,Defender,225,0,107,6,0
Slovenia,Forward,11,0,4,0,0
Netherlands,Defender,450,1,265,8,0
Cameroon,Defender,63,0,37,3,0
Algeria,Midfielder,255,3,68,3,0
Japan,Midfielder,273,3,95,4,0
Honduras,Defender,90,0,38,5,0
Uruguay,Midfielder,570,5,182,15,0
Argentina,Midfielder,346,2,218,9,0
Cameroon,Defender,270,3,135,4,0
Chile,Defender,270,1,123,7,0
Portugal,Midfielder,329,6,154,9,0
Brazil,Midfielder,291,2,249,12,0
Portugal,Midfielder,224,0,117,9,0
Honduras,Defender,180,0,51,3,0
Germany,Defender,540,0,282,9,0
Algeria,Midfielder,1,0,1,0,0
Argentina,Forward,450,21,321,10,0
Brazil,Defender,422,7,224,14,0
Portugal,Defender,90,1,52,2,0
Serbia,Midfielder,62,0,35,3,0
Argentina,Forward,91,0,33,0,0
Chile,Midfielder,125,1,80,3,0
England,Midfielder,185,1,57,6,0
South Africa,Midfielder,192,5,111,4,0
South Africa,Defender,270,0,83,5,0
Italy,Midfielder,236,8,163,9,0
Australia,Defender,180,1,91,3,0
Greece,Defender,90,0,4,2,0
Paraguay,Defender,480,1,202,7,0
Mexico,Defender,147,0,74,4,0
South Africa,Midfielder,33,0,22,0,0
South Africa,Forward,270,10,60,2,0
Slovakia,Goalkeeper,360,0,85,0,14
North Korea,Midfielder,205,2,71,7,0
Ghana,Midfielder,134,5,69,3,0
Uruguay,Goalkeeper,570,0,75,0,16
Mexico,Defender,360,6,244,14,0
Germany,Forward,383,7,165,9,0
Cameroon,Midfielder,90,1,51,1,0
Cameroon,Defender,253,0,152,4,0
Japan,Defender,390,4,68,4,0
Japan,Defender,390,1,106,3,0
North Korea,Defender,15,0,6,0,0
Australia,Defender,270,1,135,4,0
New Zealand,Defender,270,0,92,1,0
Germany,Goalkeeper,540,0,99,0,20
South Africa,Defender,55,0,21,1,0
Brazil,Forward,129,5,18,3,0
Greece,Midfielder,47,1,22,4,0
Serbia,Midfielder,160,1,91,2,0
Switzerland,Forward,227,2,65,2,0
South Africa,Forward,22,0,5,1,0
Slovenia,Forward,270,2,68,1,0
Honduras,Midfielder,172,4,60,1,0
Nigeria,Forward,195,6,62,8,0
Serbia,Defender,90,1,42,2,0
Nigeria,Forward,75,0,28,1,0
Nigeria,Defender,270,0,107,5,0
South Korea,Defender,90,1,34,3,0
Japan,Forward,104,4,15,2,0
Japan,Forward,351,7,68,4,0
USA,Defender,170,1,69,2,0
Netherlands,Defender,90,0,30,2,0
Chile,Forward,25,1,7,0,0
Paraguay,Midfielder,75,0,60,5,0
Mexico,Defender,360,1,202,14,0
Argentina,Defender,250,0,141,6,0
Ghana,Forward,35,2,22,0,0
South Africa,Defender,215,1,95,2,0
North Korea,Defender,270,0,56,4,0
North Korea,Midfielder,238,1,101,7,0
Argentina,Forward,10,3,8,0,0
Serbia,Forward,113,3,24,1,0
Ghana,Defender,510,2,248,7,0
Greece,Defender,127,0,18,10,0
Chile,Forward,70,3,11,5,0
South Korea,Forward,347,14,96,0,0
South Korea,Midfielder,360,5,127,13,0
South Africa,Forward,75,1,32,2,0
New Zealand,Goalkeeper,270,0,64,0,9
Argentina,Midfielder,37,2,44,3,0
Greece,Midfielder,80,0,31,0,0
Honduras,Forward,60,1,9,0,0
Italy,Forward,29,0,6,0,0
Slovenia,Forward,21,0,4,1,0
Spain,Midfielder,116,5,80,0,0
Slovakia,Defender,270,0,93,8,0
Portugal,Midfielder,136,1,43,3,0
Italy,Forward,225,3,100,5,0
Uruguay,Midfielder,567,2,252,34,0
Slovakia,Defender,1,0,0,0,0
Serbia,Midfielder,15,1,3,1,0
South Africa,Midfielder,252,2,126,3,0
Spain,Defender,540,2,402,15,0
Italy,Midfielder,34,0,28,0,0
Germany,Forward,531,17,217,9,0
Chile,Defender,270,2,113,4,0
Spain,Defender,534,3,254,8,0
Mexico,Goalkeeper,360,0,58,0,13
Italy,Forward,45,3,22,2,0
Slovenia,Midfielder,267,1,129,6,0
Brazil,Midfielder,105,3,53,3,0
Spain,Defender,527,9,299,7,0
New Zealand,Defender,270,2,90,10,0
North Korea,Defender,270,1,75,2,0
North Korea,Defender,270,1,59,4,0
North Korea,Goalkeeper,270,0,46,0,19
France,Midfielder,270,4,104,9,0
Portugal,Defender,179,0,44,9,0
Cameroon,Defender,17,0,3,0,0
Paraguay,Midfielder,480,5,236,22,0
Netherlands,Forward,267,6,81,5,0
Brazil,Forward,354,9,181,5,0
Argentina,Defender,90,1,72,1,0
Mexico,Defender,360,2,212,7,0
Ivory Coast,Midfielder,98,5,82,4,0
Argentina,Goalkeeper,450,0,47,0,10
Denmark,Midfielder,270,4,74,5,0
Portugal,Forward,360,18,91,3,0
England,Forward,342,8,121,2,0
Australia,Forward,32,1,12,0,0
France,Defender,270,0,125,4,0
Algeria,Forward,15,1,3,0,0
Slovakia,Defender,83,1,40,2,0
Mexico,Defender,360,9,174,15,0
Greece,Forward,121,3,28,4,0
Greece,Forward,202,7,43,1,0
Argentina,Defender,114,2,43,1,0
Paraguay,Forward,312,6,134,1,0
Paraguay,Midfielder,120,2,28,7,0
Slovakia,Midfielder,2,0,5,0,0
Ghana,Defender,463,0,167,13,0
Australia,Goalkeeper,270,0,51,0,13
Germany,Midfielder,531,5,423,23,0
Uruguay,Defender,95,0,22,5,0
Greece,Defender,90,0,39,6,0
Switzerland,Defender,36,0,9,1,0
Slovakia,Forward,152,3,27,1,0
Switzerland,Midfielder,12,0,9,0,0
Nigeria,Defender,270,0,61,5,0
Japan,Midfielder,26,0,18,1,0
South Africa,Midfielder,90,1,39,2,0
Spain,Midfielder,66,2,42,2,0
Denmark,Midfielder,270,1,99,9,0
Portugal,Midfielder,217,2,76,7,0
Slovakia,Defender,360,0,202,4,0
New Zealand,Forward,270,5,59,5,0
New Zealand,Defender,270,1,79,2,0
Netherlands,Midfielder,532,15,279,7,0
Greece,Defender,45,1,6,2,0
France,Defender,90,0,34,1,0
Serbia,Midfielder,270,3,165,5,0
Netherlands,Goalkeeper,540,0,149,0,15
Slovakia,Midfielder,193,2,76,1,0
Serbia,Goalkeeper,270,0,52,0,7
Slovakia,Midfielder,267,2,137,5,0
Honduras,Forward,171,2,35,0,0
Chile,Forward,135,4,39,1,0
Serbia,Defender,104,0,49,3,0
Slovenia,Defender,270,0,102,5,0
Uruguay,Forward,452,19,127,4,0
Chile,Forward,335,7,113,13,0
Denmark,Goalkeeper,270,0,52,0,16
Ghana,Forward,210,3,48,1,0
Nigeria,Defender,129,3,36,4,0
Japan,Forward,28,0,9,0,0
Chile,Midfielder,45,0,29,1,0
England,Defender,360,2,223,3,0
Honduras,Midfielder,114,0,37,5,0
South Africa,Defender,45,0,19,2,0
Portugal,Midfielder,298,6,155,15,0
Ivory Coast,Midfielder,270,3,148,8,0
Ivory Coast,Defender,180,1,82,7,0
Denmark,Forward,176,7,51,1,0
Greece,Defender,235,3,74,5,0
Mexico,Midfielder,360,1,253,22,0
Paraguay,Defender,82,2,29,1,0
Spain,Forward,278,9,50,0,0
USA,Midfielder,45,1,32,0,0
Serbia,Midfielder,28,3,9,0,0
France,Midfielder,180,1,98,9,0
Germany,Midfielder,109,1,60,5,0
South Africa,Midfielder,270,9,135,8,0
Honduras,Midfielder,66,0,27,0,0
Greece,Midfielder,270,2,153,8,0
Greece,Goalkeeper,270,0,41,0,12
Argentina,Forward,324,6,164,7,0
Nigeria,Midfielder,196,6,73,2,0
England,Defender,180,1,93,4,0
France,Midfielder,21,1,11,1,0
Paraguay,Forward,337,8,57,9,0
Chile,Forward,222,3,91,3,0
Australia,Midfielder,245,0,135,5,0
Honduras,Goalkeeper,270,0,51,0,12
Netherlands,Midfielder,257,8,122,4,0
Netherlands,Defender,360,0,189,2,0
Mexico,Forward,100,1,25,1,0
Portugal,Midfielder,26,1,30,1,0
Paraguay,Midfielder,414,5,138,14,0
Argentina,Midfielder,185,3,235,10,0
Paraguay,Defender,90,0,26,3,0
New Zealand,Defender,249,1,88,4,0
Nigeria,Forward,72,3,25,4,0
Uruguay,Defender,435,0,141,7,0
Chile,Defender,306,6,178,17,0
Serbia,Defender,270,2,158,7,0
Spain,Forward,529,22,169,2,0
Paraguay,Goalkeeper,480,0,99,0,10
Greece,Defender,270,0,89,4,0
Slovakia,Forward,353,10,118,0,0
Ghana,Defender,210,1,56,2,0
Honduras,Forward,125,0,43,1,0
Cameroon,Forward,168,4,39,3,0
Slovakia,Midfielder,269,2,84,2,0
Honduras,Forward,87,2,16,0,0
Australia,Midfielder,256,2,117,8,0
Honduras,Midfielder,270,0,90,14,0
New Zealand,Forward,66,1,16,0,0
England,Midfielder,89,2,29,2,0
Spain,Midfielder,515,4,563,6,0
Algeria,Defender,269,1,79,4,0
Switzerland,Midfielder,56,3,26,0,0
Nigeria,Forward,250,6,43,2,0
Japan,Forward,9,0,4,0,0
Ivory Coast,Midfielder,270,3,197,5,0
Algeria,Midfielder,269,8,138,10,0
South Korea,Midfielder,249,2,80,6,0
Nigeria,Defender,225,0,52,2,0
Slovakia,Defender,268,1,94,8,0
Italy,Defender,270,2,128,6,0
Algeria,Midfielder,240,5,93,6,0
Switzerland,Defender,270,1,71,9,0
Serbia,Forward,227,5,65,2,0
Ivory Coast,Midfielder,270,0,96,5,0
Netherlands,Midfielder,448,1,250,15,0
Netherlands,Midfielder,47,0,37,2,0
Netherlands,Midfielder,540,2,307,31,0
Netherlands,Defender,540,1,271,10,0
Netherlands,Forward,479,14,108,1,0
Switzerland,Defender,234,0,79,3,0
Uruguay,Midfielder,409,6,140,17,0
Germany,Midfielder,497,7,266,3,0
